Emotions,Path
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_tarde.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_abandono.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_abuso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_alterado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_amenazado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_amenazador.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_ataque.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_atasco.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_catastrofe.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_ceguera.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_condena.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_danino.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_delincuencia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_dificultad.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_disputa.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_enojo.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_estafa.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_estricto.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_explosion.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_explosivo.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_furia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_humillacion.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_impaciencia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_injusticia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_B_robo.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_abajo.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_adios.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_antes.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_arriba.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_ayer.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_basta_ya.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_delante.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_dentro.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_derecha.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_detras.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_de_nada.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_fuera.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_gracias.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_hola.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_hoy.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_izquierda.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_lento.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_no.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_nunca.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_por_favor.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_pronto.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_rapido.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_si.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_A_tarde.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_abuso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_amenazado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_amenazador.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_ataque.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_atasco.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_ceguera.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_conflicto.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_delincuencia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_enganado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_estricto.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_explosion.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_explosivo.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_furia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_huracan.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_injusticia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_insultado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_ira.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_irrespetuoso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_abuso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_amenazado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_amenazador.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_ataque.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_atasco.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_ceguera.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_conflicto.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_delicuencia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_enganado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_estricto.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_explosion.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_explosivo.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_furia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_huracan.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_injusticia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_insultado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_ira.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_irrespetuoso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_monstruoso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_odioso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_ofensa.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_pesadilla.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_relajacion.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L1_torturado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_abuso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_amenazado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_amenazador.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_ataque.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_atasco.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_ceguera.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_conflicto.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_delicuencia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_enganado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_estricto.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_explosion.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_explosivo.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_furia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_huracan.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_injusticia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_insultado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_ira.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_irrespetuoso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_monstruoso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_odioso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_ofensa.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_pesadilla.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_relajacion.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_L2_torturado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_monstruoso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_odioso.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_ofensa.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_pesadilla.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_relajacion.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_F_B_torturado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_abajo.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_adios.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_antes.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_arriba.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_ayer.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_basta_ya.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_delante.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_dentro.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_derecha.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_detras.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_de_nada.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_fuera.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_gracias.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_hola.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_hoy.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_izquierda.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_lento.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_no.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_nunca.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_por_favor.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_pronto.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_rapido.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_si.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_A_tarde.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_abandono.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_aguijon.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_amenazado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_amenazador.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_ansiedad.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_ataque.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_atasco.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_conflicto.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_danza.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_delincuencia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_desorden.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_dificultad.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_disputa.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_encadenado.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_enojo.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_estafa.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_farsa.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_furia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_hambre.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_huracan.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_impaciencia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_injusticia.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_ira.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_M_B_malevolo.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_abajo.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_adios.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_antes.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_arriba.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_ayer.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_basta_ya.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_delante.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_dentro.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_derecha.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_detras.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_de_nada.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_fuera.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_gracias.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_hola.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_hoy.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_izquierda.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_lento.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_no.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_nunca.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_por_favor.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_pronto.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_rapido.wav
Disgust,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Disgust_C_A_si.wav
